1, 1e-06, 2e-06, 0, 0, 1e-06, 1e-06, 0, 1e-06, 1e-06, 1e-06, 1e-06, 0
2, 1e-06, 1e-06, 1e-06, 2e-06, 3e-06, 1e-06, 2e-06, 1e-06, 1e-06, 0, 1e-06, 0
3, 1e-06, 1e-06, 1e-06, 2e-06, 2e-06, 2e-06, 3e-06, 3e-06, 3e-06, 1e-06, 1e-06, 0
4, 0, 1e-06, 1e-06, 2e-06, 2e-06, 2e-06, 4e-06, 4e-06, 4e-06, 1e-06, 0, 0
5, 1e-06, 1e-06, 1e-06, 2e-06, 3e-06, 2e-06, 5e-06, 6e-06, 6e-06, 1e-06, 1e-06, 0
6, 1e-06, 1e-06, 1e-06, 2e-06, 3e-06, 3e-06, 1e-05, 9e-06, 8e-06, 1e-06, 1e-06, 1e-06
7, 1e-06, 1e-06, 1e-06, 3e-06, 3e-06, 2e-06, 1.3e-05, 1e-05, 9e-06, 0, 1e-06, 1e-06
8, 0, 2e-06, 2e-06, 3e-06, 4e-06, 2e-06, 9e-06, 9e-06, 9e-06, 0, 1e-06, 1e-06
9, 1e-06, 1e-06, 2e-06, 3e-06, 4e-06, 4e-06, 1.1e-05, 1.1e-05, 1.1e-05, 1e-06, 1e-06, 2e-06
10, 0, 2e-06, 1e-06, 3e-06, 4e-06, 4e-06, 1.3e-05, 1.4e-05, 1.3e-05, 1e-06, 1e-06, 1e-06
11, 0, 1e-06, 2e-06, 4e-06, 6e-06, 3e-06, 1.2e-05, 1.3e-05, 1.3e-05, 4e-06, 1e-06, 2e-06
12, 0, 1e-06, 1e-06, 3e-06, 4e-06, 3e-06, 1.3e-05, 1.3e-05, 1.3e-05, 1e-06, 2e-06, 1e-06
13, 0, 2e-06, 2e-06, 3e-06, 3e-06, 3e-06, 1.4e-05, 1.4e-05, 1.3e-05, 1e-06, 2e-06, 1e-06
14, 0, 2e-06, 2e-06, 3e-06, 4e-06, 3e-06, 1.4e-05, 1.5e-05, 1.4e-05, 0, 2e-06, 2e-06
15, 1e-06, 2e-06, 2e-06, 2e-06, 4e-06, 4e-06, 1.6e-05, 1.7e-05, 1.5e-05, 1e-06, 1e-06, 2e-06
16, 1e-06, 2e-06, 2e-06, 3e-06, 4e-06, 4e-06, 1.7e-05, 1.8e-05, 1.6e-05, 1e-06, 1e-06, 2e-06
17, 0, 2e-06, 3e-06, 4e-06, 5e-06, 4e-06, 1.8e-05, 2e-05, 1.9e-05, 1e-06, 2e-06, 3e-06
18, 0, 2e-06, 3e-06, 4e-06, 4e-06, 5e-06, 1.9e-05, 2.1e-05, 2e-05, 1e-06, 2e-06, 3e-06
